"产品名称","销售额_2024","销售额_2025","年增长率"
安EX导磁环,47779.20,52475.40,0.098290
AB410支架,29603.20,10172.20,-0.656382
AB410盖板组件,4425.00,5500.00,0.242938
AB410导磁环平,3260.40,6610.00,1.027359
"13373引线支架",33000.00,29600.00,-0.103030
"13373点焊支架",25040.00,28422.00,0.135064
"13415点焊支架",5168.10,4222.80,-0.182911
"16510点焊支架",49590.00,24300.00,-0.509982
"018支架",95711.00,23947.00,-0.749799
安EX支架,119610.00,139950.00,0.170053
面板插脚,155808.50,141128.70,-0.094217
"13373B点焊支架",558898.00,757458.00,0.355271
防爆铜压板,10836.00,10213.00,-0.057494
"16438点焊支架",6014.00,14582.50,1.424759
"13383支架",16770.00,4300.00,-0.743590
AB410支架组件,37131.80,30450.80,-0.179927
AB410导磁环,3300.00,600.00,-0.818182
CY123防爆支架,374.00,3300.00,7.823529
"16510B点焊支架",164898.50,481225.00,1.918310
"13373B引线支架",72800.00,71200.00,-0.021978
紫铜插针,13804.00,14520.00,0.051869
AB410导磁环凸,2926.00,2680.00,-0.084074
"14510点焊支架",11600.00,16131.25,0.390625
"002铁壳+上下盖板",18140.10,26459.20,0.458603
DMF支架,19949.50,14025.00,-0.296975
"1033支架",6655.50,7551.60,0.134641
AB410平导磁环,1100.00,576.00,-0.476364
"0545内外支架",8455.00,9858.50,0.165996
"3.2纯铁宝德支架",13560.00,21924.00,0.616814
"0545内外彩锌支架",11400.00,3570.00,-0.686842
"018支架+接地脚",11000.00,26400.00,1.400000
ZBD插片,600.00,340.00,-0.433333
安EX四孔支架,6396.00,5115.00,-0.200281
